film_id,title,description,length,rating,language,category_id,category,inventory_id
19,"amadeus holy","a emotional display of a pioneer and a technical writer who must battle a man in a baloon",113,PG,english,1,action,93
19,"amadeus holy","a emotional display of a pioneer and a technical writer who must battle a man in a baloon",113,PG,english,1,action,94
19,"amadeus holy","a emotional display of a pioneer and a technical writer who must battle a man in a baloon",113,PG,english,1,action,95
19,"amadeus holy","a emotional display of a pioneer and a technical writer who must battle a man in a baloon",113,PG,english,1,action,96
19,"amadeus holy","a emotional display of a pioneer and a technical writer who must battle a man in a baloon",113,PG,english,1,action,97
19,"amadeus holy","a emotional display of a pioneer and a technical writer who must battle a man in a baloon",113,PG,english,1,action,98
21,"american circus","a insightful drama of a girl and a astronaut who must face a database administrator in a shark tank",129,R,english,1,action,102
21,"american circus","a insightful drama of a girl and a astronaut who must face a database administrator in a shark tank",129,R,english,1,action,103
21,"american circus","a insightful drama of a girl and a astronaut who must face a database administrator in a shark tank",129,R,english,1,action,104
21,"american circus","a insightful drama of a girl and a astronaut who must face a database administrator in a shark tank",129,R,english,1,action,105
21,"american circus","a insightful drama of a girl and a astronaut who must face a database administrator in a shark tank",129,R,english,1,action,106
21,"american circus","a insightful drama of a girl and a astronaut who must face a database administrator in a shark tank",129,R,english,1,action,107
29,"antitrust tomatoes","a fateful yarn of a womanizer and a feminist who must succumb a database administrator in ancient india",168,NC-17,english,1,action,142
29,"antitrust tomatoes","a fateful yarn of a womanizer and a feminist who must succumb a database administrator in ancient india",168,NC-17,english,1,action,143
38,"ark ridgemont","a beautiful yarn of a pioneer and a monkey who must pursue a explorer in the sahara desert",68,NC-17,english,1,action,NULL
56,"barefoot manchurian","a intrepid story of a cat and a student who must vanquish a girl in an abandoned amusement park",129,G,english,1,action,248
56,"barefoot manchurian","a intrepid story of a cat and a student who must vanquish a girl in an abandoned amusement park",129,G,english,1,action,249
56,"barefoot manchurian","a intrepid story of a cat and a student who must vanquish a girl in an abandoned amusement park",129,G,english,1,action,250
56,"barefoot manchurian","a intrepid story of a cat and a student who must vanquish a girl in an abandoned amusement park",129,G,english,1,action,251
56,"barefoot manchurian","a intrepid story of a cat and a student who must vanquish a girl in an abandoned amusement park",129,G,english,1,action,252
67,"berets agent","a taut saga of a crocodile and a boy who must overcome a technical writer in ancient china",77,PG-13,english,1,action,294
67,"berets agent","a taut saga of a crocodile and a boy who must overcome a technical writer in ancient china",77,PG-13,english,1,action,295
67,"berets agent","a taut saga of a crocodile and a boy who must overcome a technical writer in ancient china",77,PG-13,english,1,action,296
67,"berets agent","a taut saga of a crocodile and a boy who must overcome a technical writer in ancient china",77,PG-13,english,1,action,297
67,"berets agent","a taut saga of a crocodile and a boy who must overcome a technical writer in ancient china",77,PG-13,english,1,action,298
67,"berets agent","a taut saga of a crocodile and a boy who must overcome a technical writer in ancient china",77,PG-13,english,1,action,299
97,"bride intrigue","a epic tale of a robot and a monkey who must vanquish a man in new orleans",56,G,english,1,action,436
97,"bride intrigue","a epic tale of a robot and a monkey who must vanquish a man in new orleans",56,G,english,1,action,437
97,"bride intrigue","a epic tale of a robot and a monkey who must vanquish a man in new orleans",56,G,english,1,action,438
97,"bride intrigue","a epic tale of a robot and a monkey who must vanquish a man in new orleans",56,G,english,1,action,439
97,"bride intrigue","a epic tale of a robot and a monkey who must vanquish a man in new orleans",56,G,english,1,action,440
97,"bride intrigue","a epic tale of a robot and a monkey who must vanquish a man in new orleans",56,G,english,1,action,441
105,"bull shawshank","a fanciful drama of a moose and a squirrel who must conquer a pioneer in the canadian rockies",125,NC-17,english,1,action,476
105,"bull shawshank","a fanciful drama of a moose and a squirrel who must conquer a pioneer in the canadian rockies",125,NC-17,english,1,action,477
105,"bull shawshank","a fanciful drama of a moose and a squirrel who must conquer a pioneer in the canadian rockies",125,NC-17,english,1,action,478
105,"bull shawshank","a fanciful drama of a moose and a squirrel who must conquer a pioneer in the canadian rockies",125,NC-17,english,1,action,479
105,"bull shawshank","a fanciful drama of a moose and a squirrel who must conquer a pioneer in the canadian rockies",125,NC-17,english,1,action,480
111,"caddyshack jedi","a awe-inspiring epistle of a woman and a madman who must fight a robot in soviet georgia",52,NC-17,english,1,action,497
111,"caddyshack jedi","a awe-inspiring epistle of a woman and a madman who must fight a robot in soviet georgia",52,NC-17,english,1,action,498
111,"caddyshack jedi","a awe-inspiring epistle of a woman and a madman who must fight a robot in soviet georgia",52,NC-17,english,1,action,499
