film_id,title,actor_id,first_name_clean,last_name_clean,actor_full_name
1,"ACADEMY DINOSAUR",1,penelope,guiness,"penelope guiness"
23,"ANACONDA CONFESSIONS",1,penelope,guiness,"penelope guiness"
25,"ANGELS LIFE",1,penelope,guiness,"penelope guiness"
106,"BULWORTH COMMANDMENTS",1,penelope,guiness,"penelope guiness"
140,"CHEAPER CLYDE",1,penelope,guiness,"penelope guiness"
166,"COLOR PHILADELPHIA",1,penelope,guiness,"penelope guiness"
277,"ELEPHANT TROJAN",1,penelope,guiness,"penelope guiness"
361,"GLEAMING JAWBREAKER",1,penelope,guiness,"penelope guiness"
438,"HUMAN GRAFFITI",1,penelope,guiness,"penelope guiness"
499,"KING EVOLUTION",1,penelope,guiness,"penelope guiness"
506,"LADY STAGE",1,penelope,guiness,"penelope guiness"
509,"LANGUAGE COWBOY",1,penelope,guiness,"penelope guiness"
605,"MULHOLLAND BEAST",1,penelope,guiness,"penelope guiness"
635,"OKLAHOMA JUMANJI",1,penelope,guiness,"penelope guiness"
749,"RULES HUMAN",1,penelope,guiness,"penelope guiness"
832,"SPLASH GUMP",1,penelope,guiness,"penelope guiness"
939,"VERTIGO NORTHWEST",1,penelope,guiness,"penelope guiness"
970,"WESTWARD SEABISCUIT",1,penelope,guiness,"penelope guiness"
980,"WIZARD COLDBLOODED",1,penelope,guiness,"penelope guiness"
3,"ADAPTATION HOLES",2,nick,wahlberg,"nick wahlberg"
31,"APACHE DIVINE",2,nick,wahlberg,"nick wahlberg"
47,"BABY HALL",2,nick,wahlberg,"nick wahlberg"
105,"BULL SHAWSHANK",2,nick,wahlberg,"nick wahlberg"
132,"CHAINSAW UPTOWN",2,nick,wahlberg,"nick wahlberg"
145,"CHISUM BEHAVIOR",2,nick,wahlberg,"nick wahlberg"
226,"DESTINY SATURDAY",2,nick,wahlberg,"nick wahlberg"
249,"DRACULA CRYSTAL",2,nick,wahlberg,"nick wahlberg"
314,"FIGHT JAWBREAKER",2,nick,wahlberg,"nick wahlberg"
321,"FLASH WARS",2,nick,wahlberg,"nick wahlberg"
357,"GILBERT PELICAN",2,nick,wahlberg,"nick wahlberg"
369,"GOODFELLAS SALUTE",2,nick,wahlberg,"nick wahlberg"
399,"HAPPINESS UNITED",2,nick,wahlberg,"nick wahlberg"
458,"INDIAN LOVE",2,nick,wahlberg,"nick wahlberg"
481,"JEKYLL FROGMEN",2,nick,wahlberg,"nick wahlberg"
485,"JERSEY SASSY",2,nick,wahlberg,"nick wahlberg"
518,"LIAISONS SWEET",2,nick,wahlberg,"nick wahlberg"
540,"LUCKY FLYING",2,nick,wahlberg,"nick wahlberg"
550,"MAGUIRE APACHE",2,nick,wahlberg,"nick wahlberg"
555,"MALLRATS UNITED",2,nick,wahlberg,"nick wahlberg"
561,"MASK PEACH",2,nick,wahlberg,"nick wahlberg"
742,"ROOF CHAMPION",2,nick,wahlberg,"nick wahlberg"
754,"RUSHMORE MERMAID",2,nick,wahlberg,"nick wahlberg"
811,"SMILE EARRING",2,nick,wahlberg,"nick wahlberg"
958,"WARDROBE PHANTOM",2,nick,wahlberg,"nick wahlberg"
